location,bhk,total_sqft,bath,price
Banashankari,2.0,1390.0,2.0,86.0
Kathriguppe,3.0,1390.0,2.0,76.45
Marathahalli,4.0,2396.0,4.0,325.0
Electronic City,2.0,1170.0,2.0,33.0
Gottigere,3.0,1385.0,2.0,50.0
Old Madras Road,2.0,1160.0,2.0,42.0
Electronic City Phase II,2.0,1160.0,2.0,33.5
Bannerghatta Road,3.0,1200.0,2.0,69.0
Mahadevpura,2.0,1475.0,2.0,55.0
Sarjapur  Road,3.0,1939.0,3.0,98.0
7th Phase JP Nagar,2.0,850.0,2.0,42.0
Balagere,1.0,675.0,1.0,45.0
Electronic City,2.0,1060.0,2.0,51.0
Whitefield,2.0,1235.0,2.0,47.0
other,2.0,600.0,4.0,110.0
other,2.0,1250.0,2.0,60.0
Banashankari,2.0,1460.0,2.0,70.0
Akshaya Nagar,3.0,1690.0,3.0,85.0
Indira Nagar,1.0,850.0,1.0,57.0
Kanakpura Road,3.0,1843.0,3.0,82.0
7th Phase JP Nagar,3.0,1680.0,3.0,117.0
Kundalahalli,2.0,1047.0,2.0,84.0
8th Phase JP Nagar,2.0,1100.0,2.0,35.0
Nagarbhavi,2.0,1120.0,2.0,53.0
Raja Rajeshwari Nagar,2.0,1095.0,2.0,38.33
other,2.0,970.0,2.0,35.0
Hosa Road,3.0,1100.0,2.0,85.0
Uttarahalli,3.0,1685.0,3.0,85.0
other,2.0,1148.0,2.0,59.0
Marathahalli,2.0,1050.0,2.0,65.0
Bannerghatta Road,3.0,1465.0,2.0,76.0
Kothanur,4.0,3401.0,5.0,230.0
Electronic City,1.0,630.0,1.0,60.0
7th Phase JP Nagar,3.0,1850.0,3.0,150.0
other,4.0,1750.0,2.0,225.0
other,3.0,1350.0,3.0,60.0
Sector 7 HSR Layout,3.0,1760.0,3.0,160.0
Rajaji Nagar,2.0,1440.0,2.0,185.0
Banashankari Stage III,2.0,1200.0,2.0,42.0
other,2.0,1100.0,2.0,78.0
Kaggadasapura,2.0,1140.0,2.0,46.0
Hormavu,3.0,1617.0,3.0,73.595
Gottigere,2.0,1410.0,2.0,45.0
Mahadevpura,3.0,1434.0,2.0,67.39
other,2.0,1180.0,2.0,74.0
Begur Road,2.0,1160.0,2.0,42.0
EPIP Zone,2.0,1343.0,2.0,86.0
LB Shastri Nagar,2.0,1184.0,2.0,69.0
Koramangala,3.0,2246.0,3.0,300.0
other,3.0,4510.0,4.0,200.0
Banashankari Stage III,3.0,1305.0,2.0,59.0
Sarjapur  Road,4.0,3785.0,5.0,280.0
other,3.0,1540.0,3.0,85.0
Kanakpura Road,3.0,1550.0,3.0,65.11
Yelahanka,3.0,1345.0,2.0,57.0
Electronic City Phase II,3.0,975.0,2.0,45.0
HSR Layout,2.0,1140.0,2.0,46.0
JP Nagar,2.0,1152.0,2.0,34.56
Old Airport Road,4.0,3200.0,4.0,700.0
other,3.0,1033.0,2.0,31.5
other,3.0,1800.0,3.0,230.0
Marathahalli,2.0,1102.0,2.0,53.67
Subramanyapura,3.0,1223.0,2.0,42.81
Kadugodi,3.0,1762.0,3.0,112.0
Kengeri Satellite Town,2.0,560.0,2.0,16.6
Electronic City,3.0,1410.0,2.0,38.0
Thanisandra,3.0,1853.0,3.0,64.86
Kothanur,2.0,1455.0,2.0,69.0
Hebbal,2.0,1138.0,2.0,110.0
Sarjapur  Road,3.0,2556.0,3.0,169.0
TC Palaya,3.0,1200.0,2.0,66.5
other,2.0,1200.0,2.0,37.0
Thanisandra,3.0,1559.6234104263974,4.0,185.0
Anekal,2.0,1200.0,1.0,36.0
Whitefield,3.0,1870.0,3.0,138.0
Panathur,2.0,1199.0,2.0,86.0
Doddakallasandra,3.0,1360.0,2.0,54.4
Babusapalaya,3.0,1230.0,3.0,53.0
other,3.0,2000.0,3.0,120.0
Kasturi Nagar,4.0,1200.0,4.0,250.0
Kundalahalli,2.0,1047.0,2.0,83.0
Electronic City Phase II,4.0,6000.0,4.0,260.0
Ramamurthy Nagar,2.0,1200.0,2.0,76.0
Kengeri Satellite Town,2.0,1302.0,2.0,44.285
Kengeri,2.0,725.0,2.0,30.0
Jakkur,3.0,1645.0,3.0,100.0
Sultan Palaya,2.0,870.0,2.0,65.0
Marathahalli,2.0,1026.0,2.0,49.95
other,3.0,2000.0,3.0,145.0
Cooke Town,2.0,1710.0,2.0,200.0
Hosur Road,3.0,1766.0,3.0,130.0
other,1.0,500.0,1.0,15.0
JP Nagar,2.0,1100.0,1.0,15.0
Jigani,3.0,1221.0,3.0,52.0
Rachenahalli,1.0,680.0,1.0,46.0
Sarjapur  Road,2.0,1278.0,2.0,90.0
Kodichikkanahalli,2.0,1025.0,2.0,66.0
Whitefield,2.0,1175.0,2.0,39.0
Sarjapur  Road,2.0,975.0,2.0,28.275
6th Phase JP Nagar,1.0,600.0,1.0,75.0
other,2.0,850.0,2.0,42.0
Anjanapura,2.0,710.0,2.0,25.0
other,2.0,1165.0,2.0,33.64
Sarjapur,1.0,625.0,1.0,19.0
Kaggadasapura,3.0,1340.0,3.0,66.0
Ananth Nagar,2.0,937.0,2.0,35.0
JP Nagar,1.0,750.0,1.0,52.5
Shampura,3.0,1475.0,3.0,78.0
other,4.0,2230.0,4.0,130.0
other,4.0,2200.0,5.0,100.0
Mysore Road,2.0,900.0,2.0,65.0
Electronic City Phase II,2.0,1116.0,2.0,37.0
Hoodi,2.0,948.0,2.0,75.0
R.T. Nagar,2.0,970.0,2.0,55.0
other,3.0,1519.0,3.0,67.23
Thanisandra,3.0,1200.0,2.0,65.0
Bhoganhalli,3.0,1760.0,3.0,127.0
Whitefield,4.0,4400.0,5.0,525.0
Sahakara Nagar,3.0,1914.0,3.0,179.0
Budigere,3.0,1820.0,3.0,85.5
Budigere,3.0,1820.0,3.0,93.0
Kalena Agrahara,3.0,1565.0,3.0,78.0
Begur Road,2.0,1334.0,2.0,42.69
Sarakki Nagar,2.0,924.0,2.0,76.23
Jigani,2.0,914.0,2.0,49.0
Kengeri,1.0,500.0,1.0,17.0
Yelahanka,3.0,2145.0,3.0,125.0
Electronic City,3.0,1650.0,3.0,100.0
Marathahalli,4.0,3940.0,4.0,220.0
Electronic City,2.0,1020.0,2.0,29.45
Basaveshwara Nagar,2.0,1180.0,2.0,58.0
Ulsoor,2.0,1255.0,2.0,120.0
other,3.0,2777.29,5.0,650.0
Bommasandra,2.0,1014.0,2.0,35.0
Shampura,4.0,920.0,2.0,90.0
Attibele,2.0,695.0,1.0,25.0
Prithvi Layout,3.0,2273.0,4.0,220.0
GM Palaya,2.0,1140.0,2.0,48.95
Whitefield,2.0,1180.0,2.0,41.0
Begur Road,4.0,2400.0,4.0,152.0
Attibele,2.0,850.0,1.0,25.0
Banashankari,2.0,1200.0,2.0,60.0
other,4.0,3160.0,4.0,206.0
Hoodi,3.0,1769.0,3.0,96.87
Jigani,4.0,1559.6234104263974,3.0,160.0
Bhoganhalli,4.0,1554.3,4.0,131.0
Haralur Road,2.0,1243.0,2.0,46.0
other,4.0,4920.0,5.0,1150.0
Mallasandra,2.0,905.0,2.0,40.0
Kothanur,1.0,627.0,1.0,30.0
Domlur,3.0,2180.0,3.0,285.0
Frazer Town,3.0,2400.0,3.0,260.0
Marathahalli,3.0,1435.0,3.0,73.0
Jakkur,4.0,3405.1,6.0,400.0
Kodihalli,3.0,1620.0,3.0,130.0
Whitefield,3.0,1862.0,3.0,125.0
Kaikondrahalli,2.0,674.0,1.0,19.9
Marathahalli,2.0,1220.0,2.0,59.0
Haralur Road,2.0,1027.0,2.0,44.0
Electronic City,2.0,1025.0,2.0,49.0
Thanisandra,3.0,1430.0,2.0,54.5
Panathur,2.0,1235.0,2.0,65.0
Electronics City Phase 1,3.0,1291.0,2.0,32.0
Kanakpura Road,3.0,1498.0,3.0,95.0
Sarjapur  Road,3.0,2180.0,3.0,240.0
Electronic City,2.0,1000.0,2.0,29.7
other,2.0,922.0,2.0,70.0
other,2.0,850.0,2.0,72.0
other,3.0,750.0,3.0,155.0
AECS Layout,2.0,1123.0,2.0,64.0
Raja Rajeshwari Nagar,2.0,1235.0,2.0,75.0
Kogilu,2.0,1250.0,2.0,55.55
Whitefield,4.0,2403.0,5.0,360.0
Sarjapur  Road,2.0,984.0,2.0,45.91
Sarjapur  Road,2.0,1305.0,2.0,99.0
other,2.0,1200.0,1.0,65.0
other,3.0,600.0,3.0,90.0
Hebbal,4.0,2790.0,5.0,204.0
Old Madras Road,4.0,2010.0,3.0,125.0
Electronics City Phase 1,2.0,995.0,2.0,42.0
Varthur Road,2.0,1277.0,2.0,59.0
7th Phase JP Nagar,2.0,1236.0,2.0,61.33
Akshaya Nagar,2.0,1265.0,2.0,67.0
Kanakpura Road,1.0,525.0,2.6926096474673513,27.0
Hennur Road,4.0,2400.0,5.0,390.0
other,3.0,1442.0,3.0,56.24
Ardendale,2.0,1224.0,2.0,70.0
Bellandur,2.0,1205.0,2.0,59.0
other,2.0,1233.0,2.0,100.0
5th Block Hbr Layout,2.0,1312.0,2.0,69.0
Electronic City,3.0,1449.0,3.0,90.0
Yelenahalli,2.0,1090.0,2.0,54.0
Uttarahalli,3.0,1390.0,2.0,62.55
JP Nagar,2.0,1200.0,2.0,78.0
Mallasandra,4.0,600.0,2.0,50.0
BTM 2nd Stage,2.0,1000.0,2.0,58.0
Devanahalli,4.0,2400.0,5.0,190.0
Thanisandra,3.0,1732.0,3.0,85.73
Banashankari,2.0,1290.0,2.0,80.0
other,3.0,1840.0,3.0,85.0
Thanisandra,3.0,1917.0,4.0,100.0
other,2.0,1100.0,2.0,57.0
Kudlu,3.0,1455.0,2.0,60.0
Old Airport Road,4.0,2774.0,4.0,208.0
 Devarachikkanahalli,3.0,1425.0,2.0,65.0
Whitefield,3.0,1655.0,3.0,113.0
Haralur Road,4.0,2805.0,5.0,160.0
other,2.0,1040.0,2.0,46.79
Akshaya Nagar,2.0,1126.0,2.0,55.0
Hebbal,2.0,1250.0,2.0,55.55
Yelahanka,4.0,1800.0,4.0,180.0
other,2.0,1200.0,2.0,53.0
other,4.0,2050.0,3.0,100.0
Whitefield,1.0,530.0,1.0,29.44
Sarjapur,4.0,2585.0,4.0,139.5
Kambipura,2.0,883.0,2.0,37.0
Uttarahalli,3.0,1490.0,2.0,59.6
Ramagondanahalli,2.0,1295.0,2.0,95.0
Sompura,3.0,1275.0,3.0,59.0
other,2.0,800.0,2.0,30.0
Devanahalli,1.0,1200.0,1.0,95.0
Bellandur,2.0,1063.0,2.0,58.0
Balagere,1.0,656.0,1.0,43.0
other,2.0,1125.0,2.0,36.0
Marathahalli,2.0,881.0,2.0,48.06
Bisuvanahalli,2.0,700.0,1.0,32.0
other,3.0,1936.0,3.0,110.0
Hosa Road,3.0,1680.0,3.0,101.0
Rayasandra,2.0,1253.0,2.0,57.0
Rajaji Nagar,3.0,1640.0,3.0,230.0
Mysore Road,3.0,1082.0,3.0,50.0
Electronic City,2.0,1065.0,2.0,30.75
Iblur Village,3.0,2100.0,4.0,145.0
Electronic City,2.0,1070.0,2.0,58.0
Raja Rajeshwari Nagar,3.0,1280.0,3.0,57.6
Electronic City Phase II,2.0,1125.0,2.0,29.25
Sarjapur  Road,3.0,1755.0,3.0,122.0
Electronic City,2.0,1210.0,2.0,54.0
Talaghattapura,2.0,951.0,2.0,30.43
Electronic City,3.0,1500.0,2.0,75.0
other,3.0,1652.5,3.0,90.0
Yeshwanthpur,3.0,1381.0,2.0,76.18
Whitefield,2.0,1085.0,2.0,57.0
Whitefield,1.0,905.0,1.0,50.0
Hennur Road,3.0,1685.0,3.0,95.0
Somasundara Palya,2.0,1200.0,2.0,75.0
Anandapura,2.0,1151.0,2.0,42.9
Brookefield,4.0,3532.0,3.0,170.0
Kanakpura Road,3.0,1665.0,3.0,86.91
Kengeri Satellite Town,2.0,800.0,2.0,40.0
Chamrajpet,2.0,1050.0,2.0,162.0
Rajiv Nagar,2.0,1030.0,2.0,46.5
Hoodi,2.0,1257.0,2.0,71.03
Whitefield,3.0,1600.0,3.0,82.0
Choodasandra,3.0,1465.0,3.0,75.0
Jakkur,3.0,1650.0,3.0,111.0
Haralur Road,2.0,1243.0,2.0,46.0
Yelahanka New Town,2.0,680.0,1.0,80.0
Whitefield,4.0,1230.0,4.0,80.0
Koramangala,2.0,1300.0,2.0,82.0
KR Puram,2.0,1000.0,2.0,44.5
Mahadevpura,2.0,1146.0,2.0,53.8
Indira Nagar,3.0,2601.0,4.0,312.0
other,3.0,2159.0,3.0,110.0
Whitefield,2.0,1255.0,2.0,40.0
Hebbal Kempapura,2.0,1130.0,2.0,60.0
Padmanabhanagar,2.0,1200.0,2.0,60.0
Sarjapur  Road,2.0,1040.0,2.0,37.0
other,4.0,906.0,3.0,55.0
Uttarahalli,2.0,1180.0,2.0,41.3
KR Puram,2.0,1200.0,2.0,47.0
Sarjapur  Road,3.0,1374.0,3.0,51.0
Whitefield,1.0,630.0,1.0,32.15
other,3.0,2400.0,2.0,480.0
Haralur Road,2.0,1027.0,2.0,44.0
Jalahalli,3.0,2384.0,4.0,165.0
Electronic City,3.0,1033.0,2.0,28.41
Yelahanka,2.0,1200.0,2.0,54.0
Haralur Road,3.0,2017.0,3.0,105.0
other,3.0,1500.0,3.0,138.0
other,2.0,700.0,2.0,43.0
Kanakpura Road,3.0,1495.0,2.0,52.33
Kothanur,2.0,1302.0,2.0,68.5
Whitefield,1.0,905.0,1.0,52.0
Raja Rajeshwari Nagar,2.0,1303.0,2.0,55.79
Electronics City Phase 1,3.0,1350.0,3.0,71.0
Gottigere,3.0,1380.0,2.0,95.0
Harlur,3.0,1620.0,3.0,110.0
Chandapura,4.0,4800.0,4.0,250.0
Sarjapur  Road,2.0,1000.0,2.0,38.5
Ramamurthy Nagar,3.0,800.0,4.0,88.0
Thanisandra,2.0,1250.0,1.0,54.0
other,3.0,1750.0,3.0,170.0
Anekal,3.0,997.0,3.0,55.0
Kothanur,3.0,1760.0,3.0,111.0
Yelahanka,2.0,1322.0,2.0,75.0
other,3.0,1365.0,3.0,99.0
Sahakara Nagar,3.0,1500.0,3.0,125.0
Kaggadasapura,3.0,1256.0,2.0,50.0
Brookefield,2.0,941.0,2.0,48.0
Devanahalli,4.0,5000.0,4.0,465.0
Kanakpura Road,3.0,1665.0,3.0,86.58
Hennur Road,2.0,1414.0,2.0,84.18
Chikkalasandra,3.0,1270.0,2.0,55.25
other,3.0,800.0,2.0,80.0
Kengeri Satellite Town,4.0,4100.0,3.0,300.0
other,2.0,850.0,2.0,35.0
Kanakpura Road,1.0,712.0,1.0,38.44
Rajaji Nagar,4.0,2648.0,5.0,251.5
other,3.0,900.0,4.0,180.0
TC Palaya,2.0,900.0,2.0,55.0
Hebbal,2.0,1200.0,2.0,49.0
Kengeri Satellite Town,1.0,654.0,1.0,22.0
other,2.0,708.0,1.0,55.0
other,4.0,600.0,5.0,75.0
other,3.0,1680.0,3.0,135.0
other,2.0,990.0,2.0,58.0
Uttarahalli,2.0,1380.0,2.0,42.0
Hebbal,2.0,1088.0,2.0,62.0
Harlur,3.0,1414.0,3.0,77.5
other,2.0,1240.0,2.0,100.0
other,3.0,1810.0,3.0,118.0
other,3.0,2005.0,3.0,240.0
Kothanur,2.0,1185.0,2.0,58.0
Whitefield,3.0,1200.0,3.0,57.15
Electronic City,2.0,1070.0,2.0,52.0
other,2.0,1265.0,2.0,58.0
Sahakara Nagar,2.0,1100.0,2.0,55.0
other,2.0,1035.0,2.0,44.0
Sonnenahalli,1.0,614.0,1.0,30.715
other,2.0,1000.0,2.0,97.0
Hegde Nagar,2.0,1179.0,2.0,49.35
Vittasandra,3.0,1650.0,3.0,84.0
other,3.0,1430.0,3.0,78.65
Marathahalli,3.0,1130.0,2.0,58.0
JP Nagar,3.0,1850.0,2.0,110.0
Hennur,3.0,1340.0,3.0,54.24
Sarjapur  Road,4.0,4334.0,2.6926096474673513,338.0
other,2.0,600.0,2.0,30.0
Banashankari,3.0,2582.0,5.0,250.0
Channasandra,2.0,1160.0,2.0,55.0
other,1.0,1200.0,2.0,45.0
other,2.0,1116.0,2.0,37.6
other,3.0,600.0,2.0,85.0
Sarakki Nagar,3.0,2663.0,4.0,338.0
other,2.0,1090.0,2.0,45.0
JP Nagar,2.0,1100.0,2.0,45.0
Kammasandra,3.0,1365.0,2.0,34.13
Vijayanagar,3.0,1484.0,3.0,79.19
Green Glen Layout,3.0,1630.0,3.0,68.0
Whitefield,3.0,1451.0,2.0,52.43
Kanakpura Road,2.0,1330.0,2.0,107.0
Thanisandra,3.0,2127.0,3.0,135.0
other,4.0,1260.0,4.0,65.0
Sarjapur  Road,3.0,1173.0,2.0,45.75
Electronics City Phase 1,3.0,1445.0,2.0,56.0
other,4.0,2250.0,4.0,400.0
Bannerghatta Road,3.0,1500.0,4.0,239.0
Thanisandra,3.0,2336.0,3.0,115.89
JP Nagar,2.0,1197.0,2.0,47.88
2nd Stage Nagarbhavi,4.0,1200.0,4.0,225.0
Kanakpura Road,3.0,1450.0,3.0,62.4
Whitefield,2.0,1187.0,2.0,37.85
Channasandra,2.0,1050.0,2.0,41.0
Panathur,3.0,1370.0,2.0,54.8
Yelahanka,2.0,1036.0,2.0,39.37
JP Nagar,3.0,1275.0,3.0,41.2
Old Madras Road,4.0,2010.0,3.0,115.0
Thigalarapalya,2.0,1418.0,2.0,106.0
Thanisandra,2.0,1265.0,2.0,46.6
Anandapura,3.0,1576.0,3.0,58.0
Dodda Nekkundi,2.0,1148.0,2.0,56.0
other,2.0,1000.0,2.0,36.0
Kudlu,3.0,1293.0,2.0,85.0
TC Palaya,3.0,1200.0,2.0,66.0
Munnekollal,2.0,1210.0,2.0,75.0
HSR Layout,2.0,1126.0,2.0,69.0
Sarakki Nagar,3.0,1840.0,4.0,175.0
Vidyaranyapura,3.0,1440.0,2.0,70.0
Ramamurthy Nagar,3.0,1300.0,2.0,52.0
Thanisandra,2.0,1276.0,2.0,75.0
Whitefield,2.0,1216.0,2.0,83.0
other,1.0,840.0,1.0,75.0
Sompura,2.0,1126.0,2.0,39.0
Mysore Road,1.0,45.0,1.0,23.0
Raja Rajeshwari Nagar,2.0,1162.0,2.0,65.0
Whitefield,2.0,1301.0,2.0,65.0
Devanahalli,1.0,658.0,1.0,34.0
Sahakara Nagar,3.0,1350.0,3.0,250.0
Whitefield,3.0,2500.0,3.0,280.0
1st Phase JP Nagar,1.0,1559.6234104263974,1.0,63.0
Chandapura,3.0,1208.51,3.0,42.0
Raja Rajeshwari Nagar,2.0,1133.0,2.0,38.41
other,3.0,1760.0,2.0,116.0
Bisuvanahalli,3.0,1075.0,2.0,52.0
Sarjapur,2.0,940.0,2.0,25.38
Badavala Nagar,2.0,1145.0,2.0,57.0
Bannerghatta Road,2.0,1302.0,2.0,67.73
other,4.0,3900.0,5.0,550.0
other,4.0,3317.0,5.0,268.5
Dasarahalli,2.0,1300.0,2.0,50.0
Malleshwaram,3.0,2475.0,4.0,326.0
6th Phase JP Nagar,3.0,2040.0,3.0,200.0
Hosakerehalli,1.0,1200.0,1.0,150.0
Jigani,4.0,2420.0,4.0,190.0
Thubarahalli,2.0,1216.0,2.0,80.0
Tumkur Road,3.0,1459.0,2.0,110.0
Jakkur,3.0,1622.0,2.0,80.0
Kanakpura Road,3.0,1843.0,3.0,85.0
Badavala Nagar,2.0,1274.0,2.0,81.0
other,2.0,600.0,1.0,52.0
Malleshpalya,3.0,1430.0,2.0,69.5
Kammanahalli,4.0,1800.0,2.0,280.0
Begur Road,3.0,1565.0,2.0,57.91
other,3.0,1670.0,3.0,160.0
Lakshminarayana Pura,3.0,1695.0,3.0,150.0
other,2.0,1410.0,2.0,75.0
Kengeri Satellite Town,2.0,1060.0,2.0,42.0
Sarjapur  Road,2.0,1120.0,2.0,50.0
Hosa Road,2.0,880.0,2.0,50.0
Jalahalli,2.0,1083.0,2.0,32.49
Dodda Nekkundi,3.0,1435.0,3.0,57.2
Doddakallasandra,3.0,1425.0,2.0,56.99
Arekere,2.0,900.0,2.0,50.0
Thanisandra,1.0,693.0,1.0,34.3
Kengeri,3.0,600.0,3.0,90.0
Electronic City,4.0,2435.0,4.0,119.0
Iblur Village,3.0,1920.0,3.0,150.0
Electronic City,1.0,630.0,1.0,47.0
Bisuvanahalli,3.0,1075.0,2.0,50.0
Nagavarapalya,1.0,705.0,1.0,55.0
other,3.0,1200.0,2.0,75.6
Mahadevpura,2.0,1532.0,2.0,62.0
Rajiv Nagar,2.0,1330.0,2.0,93.0
other,4.0,1200.0,3.0,210.0
Sarjapur  Road,3.0,1530.0,2.0,60.0
Kasavanhalli,2.0,1105.0,2.0,42.0
1st Phase JP Nagar,2.0,1566.0,2.0,180.0
Harlur,3.0,1630.0,3.0,95.1
5th Phase JP Nagar,2.0,1256.0,2.0,62.8
Brookefield,3.0,1595.0,2.0,75.0
7th Phase JP Nagar,2.0,1000.0,2.0,53.0
Poorna Pragna Layout,3.0,1475.0,2.0,58.99
Electronic City Phase II,2.0,1000.0,2.0,28.88
other,4.0,2360.0,4.0,650.0
Uttarahalli,3.0,1737.0,2.0,95.0
Electronic City Phase II,2.0,1000.0,2.0,28.88
other,4.0,2100.0,4.0,150.0
Mysore Road,2.0,883.0,2.0,50.0
Haralur Road,2.0,1243.0,2.0,46.0
BTM Layout,3.0,1776.0,2.0,75.0
Anjanapura,3.0,1347.0,2.0,37.72
Whitefield,3.0,1330.0,2.0,55.0
other,2.0,600.0,2.0,120.0
Rajaji Nagar,4.0,3730.0,4.0,370.0
Harlur,3.0,1459.0,3.0,135.0
Thanisandra,4.0,2259.0,5.0,135.0
Gubbalala,2.0,1008.0,2.0,32.25
other,2.0,1200.0,2.0,52.5
other,4.0,2328.0,4.0,528.0
Electronic City,2.0,660.0,1.0,15.5
Rajaji Nagar,3.0,1800.0,2.0,250.0
Rajaji Nagar,4.0,3100.0,4.0,550.0
Yelahanka,2.0,1405.0,2.0,50.58
Yelahanka,1.0,602.0,1.0,26.0
Marathahalli,3.0,1710.0,3.0,100.0
JP Nagar,3.0,1500.0,2.0,82.0
other,3.0,1539.0,3.0,60.0
Judicial Layout,3.0,1100.0,2.0,53.0
Raja Rajeshwari Nagar,2.0,1151.0,2.0,49.0
other,2.0,920.0,2.0,46.0
Kathriguppe,3.0,1350.0,3.0,78.3
Bannerghatta Road,2.0,1200.0,2.0,65.0
Thanisandra,2.0,1265.0,2.0,78.0
Sarjapur  Road,3.0,1700.0,3.0,93.5
Ramamurthy Nagar,3.0,1600.0,3.0,75.0
other,4.0,1550.0,4.0,120.0
R.T. Nagar,3.0,1560.0,3.0,125.0
Haralur Road,2.0,1243.0,2.0,46.0
Raja Rajeshwari Nagar,4.0,1200.0,4.0,160.0
Sarjapur  Road,3.0,1403.0,3.0,56.0
Doddakallasandra,2.0,1010.0,2.0,40.39
Tumkur Road,3.0,1416.0,3.0,94.0
Kanakpura Road,2.0,1628.0,2.0,68.0
Chamrajpet,4.0,1660.4,4.0,211.0
7th Phase JP Nagar,3.0,1680.0,3.0,125.0
Doddathoguru,3.0,1595.0,3.0,62.0
Kanakpura Road,3.0,1507.0,2.0,95.0
Frazer Town,3.0,2560.0,3.0,288.0
Hennur Road,3.0,1949.0,3.0,133.0
BTM 2nd Stage,2.0,800.0,2.0,175.0
Electronic City Phase II,2.0,1000.0,2.0,28.88
other,2.0,905.0,2.0,50.0
Hosakerehalli,3.0,2480.0,3.0,245.0
other,3.0,1495.0,3.0,200.0
Kaikondrahalli,3.0,1605.0,3.0,105.0
Bommanahalli,2.0,1290.0,2.0,73.0
Yelahanka,2.0,1100.0,2.0,60.0
Electronics City Phase 1,2.0,995.0,2.0,49.8
Banashankari Stage II,2.0,500.0,2.0,55.0
Rajaji Nagar,4.0,3526.0,4.0,598.0
Gottigere,3.0,1425.0,2.0,47.0
other,3.0,1455.0,2.0,55.0
other,1.0,550.0,1.0,23.0
Uttarahalli,3.0,1385.0,2.0,48.48
Vishveshwarya Layout,4.0,7000.0,4.0,210.0
other,2.0,1060.0,2.0,53.0
other,3.0,1080.0,2.0,75.0
HBR Layout,3.0,1783.0,3.0,125.0
Haralur Road,3.0,1520.0,2.0,90.0
Sarjapur  Road,2.0,1060.0,2.0,55.0
Raja Rajeshwari Nagar,2.0,1267.0,2.0,54.35
Whitefield,2.0,1155.0,2.0,55.0
Karuna Nagar,3.0,2500.0,3.0,180.0
Bannerghatta Road,2.0,1240.0,2.0,65.0
other,3.0,1570.0,3.0,78.0
NGR Layout,2.0,1019.0,2.0,45.9
Whitefield,2.0,1355.0,3.0,76.0
other,3.0,1537.0,3.0,110.0
Whitefield,4.0,4075.0,5.0,226.0
Raja Rajeshwari Nagar,3.0,1550.0,3.0,52.45
Raja Rajeshwari Nagar,2.0,1100.0,2.0,50.0
other,3.0,1750.0,3.0,150.0
9th Phase JP Nagar,2.0,1466.0,2.0,71.0
Rachenahalli,3.0,1550.0,3.0,72.5
Akshaya Nagar,3.0,2300.0,4.0,102.0
Kengeri,1.0,540.0,1.0,22.5
8th Phase JP Nagar,3.0,950.0,3.0,130.0
other,2.0,1020.0,2.0,48.0
Cunningham Road,3.0,2880.0,3.0,501.0
Hebbal,3.0,1987.0,4.0,165.0
Hoodi,2.0,1305.0,2.0,75.0
Sarjapur,4.0,2100.0,3.0,125.0
Electronic City,2.0,1125.0,2.0,32.5
Horamavu Banaswadi,2.0,1225.0,2.0,49.5
Hennur,2.0,1255.0,2.0,55.5
other,2.0,1191.0,2.0,90.0
Electronic City,2.0,1165.0,2.0,33.64
other,2.0,865.0,2.0,35.11
Nagarbhavi,3.0,1850.0,2.0,88.0
Marsur,2.0,497.0,1.0,17.0
Hennur Road,2.0,1232.0,2.0,89.0
Thanisandra,3.0,1732.0,3.0,85.73
Yelahanka,3.0,1614.0,2.0,100.0
Magadi Road,2.0,600.0,1.0,22.0
Thigalarapalya,3.0,2072.0,4.0,155.0
Electronic City,2.0,919.0,2.0,34.0
other,4.0,2100.0,4.0,90.0
Shampura,4.0,672.0,3.0,54.0
Marsur,3.0,1200.0,3.0,150.0
other,4.0,2849.0,5.0,250.0
other,2.0,1000.0,2.0,42.0
Whitefield,2.0,1216.0,2.0,75.0
Lingadheeranahalli,4.0,2245.0,4.0,154.0
Bannerghatta Road,3.0,1476.0,3.0,125.0
Ambedkar Nagar,3.0,1852.0,3.0,130.0
other,2.0,1225.0,2.0,47.0
Panathur,3.0,1597.0,3.0,67.12
Jakkur,3.0,2423.0,4.0,160.0
Marathahalli,2.0,1152.0,2.0,90.0
Harlur,3.0,1762.0,3.0,133.0
Kammasandra,3.0,1400.0,3.0,92.0
Rachenahalli,3.0,1530.0,2.0,74.4
Raja Rajeshwari Nagar,2.0,1185.0,2.0,40.17
Yelahanka,3.0,1890.0,3.0,108.0
Varthur Road,3.0,1247.0,2.0,58.0
Bellandur,2.0,1201.0,2.0,59.99
other,2.0,830.0,2.0,40.0
Electronic City Phase II,2.0,1165.0,2.0,30.29
Bommanahalli,2.0,1100.0,1.0,55.0
9th Phase JP Nagar,3.0,1890.0,2.0,93.0
other,3.0,1685.0,3.0,60.0
Sarakki Nagar,4.0,3131.0,4.0,349.0
Battarahalli,2.0,1165.0,2.0,43.0
other,2.0,827.0,2.0,45.0
other,3.0,396.0,2.0,48.0
Uttarahalli,4.0,1200.0,4.0,179.0
Electronics City Phase 1,1.0,635.0,1.0,26.0
Whitefield,4.0,4000.0,4.0,380.0
other,2.0,1050.0,2.0,50.0
Jakkur,3.0,1819.18,3.0,168.0
Kanakapura,3.0,1500.0,3.0,125.0
Yelenahalli,3.0,1500.0,2.0,57.0
Benson Town,3.0,2850.0,4.0,470.0
Raja Rajeshwari Nagar,3.0,1751.0,3.0,72.0
other,4.0,4750.0,6.0,1102.0
Bommasandra,2.0,1020.0,2.0,40.89
